time,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,fsr_left,fsr_right,fsr_spine,label
0.02,-0.0102,-0.3668,-0.2098,0.7746,-0.4058,0.4893,0.01,0.0919,0.2354,2
0.04,-0.2207,0.2027,0.3407,0.7786,-0.393,0.5023,0.0,0.0886,0.252,2
0.06,0.0868,-0.3312,0.5424,0.7783,-0.3927,0.4968,0.0,0.0909,0.2525,2
0.08,-0.2471,-0.3103,0.4215,0.7717,-0.3982,0.4955,0.0002,0.0908,0.247,2
0.1,-0.0226,-0.2853,0.221,0.7811,-0.3924,0.5064,0.0,0.0954,0.2418,2
0.12,-0.023,-0.176,0.4364,0.7844,-0.3979,0.5036,0.0,0.0937,0.2476,2
0.14,-0.1622,0.3512,0.4194,0.7824,-0.3988,0.5042,0.0,0.0939,0.2519,2
0.16,-0.146,0.5241,0.2933,0.7728,-0.3922,0.4996,0.0,0.0961,0.2514,2
0.18,0.0566,-0.1791,0.1451,0.7646,-0.3982,0.4975,0.0,0.0916,0.2558,2
0.2,-0.4596,-0.3968,0.1729,0.772,-0.396,0.5049,0.0007,0.0969,0.2481,2
0.22,-0.2076,-0.0194,0.276,0.7725,-0.4016,0.5014,0.0,0.0948,0.241,2
0.24,0.4062,0.7582,0.3278,0.7751,-0.3967,0.5037,0.0,0.0934,0.2443,2
0.26,0.0192,0.5203,0.6135,0.7753,-0.3942,0.4914,0.0,0.0958,0.2452,2
0.28,-0.0375,0.3161,0.5399,0.7879,-0.3984,0.4947,0.0,0.0933,0.2428,2
0.3,0.2413,-0.2657,0.4028,0.7763,-0.3976,0.4994,0.0,0.0951,0.2455,2
0.32,0.1161,-0.3376,0.4433,0.7658,-0.3987,0.5033,0.0,0.0916,0.2445,2
0.34,-0.4423,0.2234,0.463,0.7596,-0.3988,0.5062,0.0,0.0912,0.245,2
0.36,0.012,1.1848,-0.0071,0.7773,-0.3945,0.5124,0.0,0.0924,0.2469,2
0.38,0.0381,0.9062,-0.0391,0.7743,-0.395,0.5,0.0035,0.094,0.2487,2
0.4,-0.6305,-0.3689,0.4067,0.7825,-0.3995,0.4951,0.0,0.0929,0.2407,2
0.42,-0.4107,-0.3435,0.5167,0.7656,-0.4048,0.4967,0.0,0.0938,0.2398,2
0.44,-0.4508,-0.4804,1.0613,0.7759,-0.4008,0.5054,0.0,0.0936,0.2488,2
0.46,-0.0898,0.5579,0.5849,0.7733,-0.3964,0.5054,0.0,0.0942,0.24,2
0.48,-0.1865,0.9406,0.2288,0.771,-0.3901,0.5038,0.0,0.0915,0.2354,2
0.5,-0.3024,0.03,0.6579,0.7698,-0.3893,0.5029,0.0,0.0907,0.2497,2
