time,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,fsr_left,fsr_right,fsr_spine,label
0.02,1.011,-0.4977,1.3215,0.9264,0.0123,0.3291,0.0685,0.1426,0.005,0
0.04,0.3932,-0.0391,1.2178,0.9629,0.0012,0.351,0.0675,0.141,0.0,0
0.06,0.1925,0.3422,1.8244,0.9748,0.0074,0.337,0.0694,0.1411,0.0104,0
0.08,-0.0024,-0.0164,1.2932,0.9625,0.0134,0.324,0.0703,0.1406,0.0152,0
0.1,-0.1749,0.5124,0.9211,0.9554,0.0182,0.2929,0.0682,0.1416,0.0079,0
0.12,-0.0921,0.9342,0.6416,0.929,0.0132,0.3441,0.0683,0.142,0.0076,0
0.14,0.1923,0.7691,0.5593,0.9126,0.0127,0.3324,0.0684,0.1431,0.0031,0
0.16,-0.1385,0.1821,1.0764,0.951,0.0149,0.3351,0.067,0.1428,0.0,0
0.18,-0.4486,-0.1789,1.0376,0.9472,0.0087,0.3445,0.0654,0.1434,0.0004,0
0.2,-0.3066,-0.329,0.5341,0.9385,0.0076,0.359,0.0688,0.1416,0.0086,0
0.22,-0.324,-0.1714,0.4424,0.9276,0.0157,0.3528,0.0692,0.1427,0.0058,0
0.24,-0.224,0.0157,-0.3387,0.9549,0.0042,0.3391,0.0731,0.1434,0.0074,0
0.26,-0.5324,1.1966,-0.0358,0.9264,0.0099,0.3373,0.0672,0.1418,0.0123,0
0.28,-0.9814,1.5283,-0.6426,0.936,0.0122,0.3658,0.0709,0.1417,0.0198,0
0.3,-0.6623,1.1552,-0.0955,0.9523,0.0082,0.382,0.0717,0.1416,0.001,0
0.32,-0.2024,0.1118,0.3865,0.9337,0.01,0.3728,0.0672,0.1417,0.0,0
0.34,-0.2552,-0.3019,0.1562,0.9435,0.0133,0.3526,0.0661,0.1416,0.0032,0
0.36,-0.1773,0.029,0.0456,0.9413,0.0085,0.3718,0.0679,0.142,0.0112,0
0.38,-0.2493,0.4792,0.1504,0.936,0.0014,0.3521,0.07,0.1416,0.0032,0
0.4,-0.0802,0.4151,0.3483,0.9569,0.0052,0.3315,0.069,0.1422,0.0054,0
0.42,-0.1583,0.5682,0.8366,0.9251,0.0002,0.3576,0.0703,0.1413,0.0238,0
0.44,-0.3408,0.3666,0.9104,0.9238,0.0078,0.3421,0.0704,0.1409,0.0057,0
0.46,0.8212,-0.0241,0.1175,0.9344,0.0156,0.3339,0.0704,0.1419,0.0014,0
0.48,-0.1427,-0.4617,0.23,0.9745,0.009,0.3693,0.0695,0.1407,0.02,0
0.5,-0.0264,-0.5945,0.519,0.9481,0.0102,0.3376,0.0705,0.1417,0.0043,0
0.52,0.9532,-0.941,0.9626,0.9449,0.0052,0.3926,0.0693,0.1411,0.0032,0
0.54,0.0353,0.0308,0.4841,0.9528,-0.0033,0.3327,0.0717,0.1415,0.0005,0
0.56,-0.1287,0.2254,0.2966,0.9568,0.0018,0.3317,0.0708,0.1422,0.0071,0
0.58,0.3519,0.3215,0.7219,0.9614,0.0043,0.3417,0.0712,0.142,0.0,0
0.6,0.3543,-0.5327,0.7764,0.9358,-0.0013,0.3421,0.0689,0.1414,0.0,0
0.62,-0.0972,-0.2434,0.1024,0.9482,0.0046,0.3238,0.0676,0.1419,0.0,0
0.64,-0.1796,0.4167,-0.2537,0.9445,-0.0046,0.3613,0.0691,0.1416,0.0101,0
0.66,-0.8208,0.5968,-0.1816,0.9588,0.0052,0.3775,0.0676,0.1422,0.0018,0
0.68,-0.8283,0.3161,0.1254,0.9628,-0.0059,0.3086,0.0663,0.1418,0.0005,0
0.7,-0.9666,0.5853,-0.2866,0.9251,0.0095,0.2996,0.068,0.1434,0.0176,0
0.72,-0.9303,0.5803,-0.6838,0.9411,-0.001,0.3648,0.0699,0.1424,0.0,0
0.74,-0.5068,0.6531,-0.2885,0.943,0.007,0.2763,0.0673,0.1415,0.0194,0
0.76,-0.0064,0.9911,0.0288,0.9669,0.0036,0.3522,0.0683,0.1424,0.0069,0
0.78,-0.5201,-0.071,0.2711,0.9401,0.0073,0.3579,0.0692,0.1428,0.0033,0
0.8,-0.3994,-0.9559,0.5011,0.9389,0.0003,0.3564,0.0688,0.1432,0.0073,0
0.82,-0.2269,-0.4871,0.3109,0.9448,-0.0014,0.3259,0.0699,0.1421,0.0,0
0.84,0.5243,-0.1616,0.4953,0.9418,0.003,0.3859,0.0683,0.1422,0.0,0
0.86,0.5097,-0.3912,0.8148,0.9572,0.0096,0.3664,0.0683,0.141,0.0127,0
0.88,0.263,-0.3609,0.597,0.957,0.0082,0.3307,0.0688,0.1417,0.0049,0
0.9,0.609,-0.0499,0.3194,0.9524,0.0098,0.329,0.0718,0.142,0.0022,0
0.92,0.2031,-1.192,0.1091,0.942,0.0113,0.3334,0.0707,0.1422,0.0236,0
0.94,0.1128,-0.6057,0.6337,0.9304,0.0098,0.3181,0.0668,0.141,0.0028,0
0.96,0.1089,0.3371,-0.1187,0.9548,0.0164,0.3462,0.0682,0.1417,0.0059,0
0.98,0.4205,0.7596,0.8832,0.9525,0.0126,0.3151,0.0696,0.1421,0.0006,0
1.0,0.0777,0.0035,0.8275,0.9458,0.0157,0.312,0.068,0.1411,0.0062,0
1.02,-0.2888,0.1851,0.8885,0.9635,0.0063,0.3288,0.0662,0.1425,0.013,0
1.04,-0.8993,0.0822,0.8347,0.9684,0.0091,0.3499,0.067,0.1426,0.0148,0
1.06,-0.59,-0.2785,0.5218,0.9575,0.0089,0.329,0.0672,0.1422,0.004,0
1.08,-0.3236,-0.3482,0.7825,0.9449,0.0012,0.3239,0.0668,0.1419,0.0118,0
1.1,-0.1654,-0.1495,0.6064,0.9472,-0.0025,0.3582,0.0664,0.1423,0.0,0
1.12,-0.128,0.1377,0.341,0.9411,0.0092,0.3697,0.068,0.142,0.0,0
1.14,-0.1674,0.5826,0.1695,0.9222,0.0117,0.2959,0.0679,0.1417,0.02,0
1.16,-0.0729,0.1892,0.4052,0.941,0.0111,0.2957,0.0736,0.1402,0.0142,0
1.18,0.2699,-1.7805,0.344,0.9404,-0.0001,0.3627,0.0689,0.143,0.0226,0
1.2,0.5618,-1.5682,0.2675,0.9261,-0.0091,0.3518,0.0692,0.1428,0.0,0
1.22,-0.0536,-0.9827,0.471,0.9507,0.0029,0.3006,0.0711,0.1423,0.0,0
1.24,-0.2902,-0.8379,-0.045,0.9695,0.0064,0.3303,0.069,0.1426,0.0008,0
1.26,-0.7146,-0.0167,0.2171,0.9542,0.0104,0.3287,0.0685,0.142,0.0,0
1.28,-0.7712,-0.345,0.1669,0.9537,0.0111,0.3029,0.0672,0.1431,0.0,0
1.3,-0.2341,-0.8662,-0.0588,0.9557,0.0106,0.3514,0.0674,0.1444,0.0018,0
1.32,-0.6868,-0.7276,-0.0162,0.9626,0.0094,0.3326,0.0702,0.1439,0.0048,0
1.34,-0.2827,-0.485,-0.1071,0.9393,0.0036,0.3287,0.0717,0.1424,0.0052,0
1.36,-0.8611,-1.0394,0.0307,0.9424,-0.0036,0.3163,0.0714,0.1427,0.021,0
